id,productname,price,quantity,promotion
1,Điện thoại di động Samsung Galaxy S20,15000000,50,15
2,Laptop Dell Inspiron 15 7000,25000000,30,20
3,Smartwatch Apple Watch Series 6,12000000,40,25
4,Điện thoại di động iPhone 13 Pro Max,30000000,20,10
5,Máy tính bảng Samsung Galaxy Tab S7,18000000,25,5
6,TV Samsung QLED 4K 55 inch,20000000,15,0
7,Loa Bluetooth JBL Charge 4,2500000,100,30
8,Headphone Sony WH-1000XM4,7000000,50,20
9,Điều hòa không khí Daikin Inverter,15000000,35,10
10,Máy ảnh DSLR Canon EOS 90D,22000000,20,15
11,Router Wi-Fi TP-Link Archer AX10,1500000,70,25
12,Ổ cứng di động Seagate Backup Plus 2TB,1500000,60,5
13,Kindle Paperwhite,3000000,45,20
14,Smart speaker Amazon Echo Dot (4th Gen),1500000,80,10
15,Bình nước nóng Ferroli,5000000,30,0
16,Apple MacBook Pro 13 inch,35000000,25,15
17,Đèn LED thông minh Xiaomi Yeelight,500000,120,20
18,Máy hút bụi Robot Xiaomi Mi Robot Vacuum,7000000,40,5
19,Thiết bị chống trộm thông minh Ring Video Doorbell,3500000,30,10
20,Đèn LED Philips Hue Starter Kit,3000000,50,0
21,Smart TV Box Nvidia Shield TV Pro,6000000,20,15
22,Loa thông minh Google Nest Audio,2500000,60,5
23,Thiết bị định vị GPS Garmin Drive 52,3500000,35,25
24,Ổn áp Standa Gold 5KVA,8000000,25,20
25,Đồng hồ thông minh Xiaomi Mi Band 6,1000000,100,10
26,Ổn áp Lioa 10KVA,12000000,20,0
27,Chuột không dây Logitech MX Master 3,2000000,45,30
28,Bộ lưu điện UPS APC BX1100C-IN,3000000,30,5
29,Smart lock August Wi-Fi Smart Lock,5000000,25,15
30,Máy sấy tóc Dyson Supersonic,8000000,15,10
31,Ổn áp Rotech 3KVA,6000000,40,0
32,Thiết bị hồng ngoại Logitech Harmony Elite,6000000,20,20
33,Robot hút bụi Ecovacs Deebot N8 Pro+,10000000,30,25
34,Ổn áp Eaton 15KVA,25000000,10,10
35,Loa di động Bose SoundLink Revolve+,5000000,30,5
36,Máy rửa chén Bosch SMS40E32EU,12000000,20,0
37,Thiết bị hồng ngoại Broadlink RM4 Pro,1500000,50,15
38,Smartwatch Garmin Fenix 6X Pro,18000000,15,10
39,Thiết bị làm sạch không khí Dyson Pure Cool TP04,15000000,25,0
40,Đồng hồ thông minh Fitbit Versa 3,5000000,40,5
41,Bộ camera an ninh Arlo Pro 3,20000000,20,20
42,Máy sấy quần áo Xiaomi Mijia Smart Clothes Dryer,8000000,15,25
43,Thiết bị chuyển đổi HDMI to VGA,500000,80,10
44,Ổn áp Tojiro 8KVA,10000000,25,5
45,Đèn pin đeo đầu Petzl Actik Core,1000000,70,30
46,Chuột gaming Razer DeathAdder V2,1500000,60,15
47,Đồng hồ thông minh Huawei Watch GT 2,7000000,35,5
48,Ổn áp Hyundai 5KVA,7000000,30,0
49,Điện thoại di động OnePlus 9 Pro,20000000,25,10
50,Router Wi-Fi Asus RT-AX86U,4000000,40,0
51,Ổn áp Santak 10KVA,18000000,20,15
52,Loa soundbar Sony HT-S350,5000000,35,20
53,Điện thoại di động Xiaomi Mi 11,12000000,40,25
54,Smartwatch Samsung Galaxy Watch Active 2,8000000,30,5
55,Ổn áp APCE 2KVA,3000000,40,0
56,Máy lọc không khí Xiaomi Mi Air Purifier 3H,5000000,30,15
57,Smart speaker Apple HomePod Mini,3000000,50,0
58,Thiết bị hồng ngoại Logitech Harmony Hub,2000000,40,10
59,Loa di động JBL Flip 5,3000000,30,5
60,Ổn áp GE 20KVA,30000000,10,30
61,Router Wi-Fi D-Link DIR-2660-US,2000000,40,0
62,Điện thoại di động Realme GT,10000000,35,25
63,Smartwatch Fitbit Sense,10000000,25,0
64,Thiết bị chuyển đổi USB to HDMI,800000,70,20
65,Ổn áp VND 3KVA,6000000,30,25
66,TV LG OLED 4K 65 inch,35000000,20,5
67,Đèn LED thông minh TP-Link KL50,800000,100,10
68,Máy làm sạch không khí Coway AP-1512HH,6000000,25,15
69,Smart TV Box Roku Ultra,2500000,40,0
70,Loa thông minh Amazon Echo Show 10,12000000,15,15
71,Thiết bị hồng ngoại Broadlink RM Mini 3,1000000,50,0
72,Đồng hồ thông minh Amazfit Bip U Pro,2000000,40,10
73,Ổn áp RAC 5KVA,8000000,30,5
74,Máy phát Wi-Fi di động TP-Link M7350,1000000,50,10
75,Điện thoại di động Google Pixel 6,18000000,20,15
76,Ổn áp ProMax 10KVA,15000000,20,0
77,TV Sony LED 4K 75 inch,40000000,15,25
78,Loa di động Ultimate Ears Boom 3,3500000,30,0
79,Thiết bị làm mát không khí Xiaomi Mi Air Cooler,6000000,20,15
80,Smart speaker Harman Kardon Citation 300,6000000,25,5
81,Bộ camera an ninh Reolink Argus 3 Pro,15000000,15,30
82,Máy chiếu Epson EH-TW7000,25000000,20,20
83,Ổn áp Matsuyama 8KVA,10000000,25,5
84,Thiết bị chuyển đổi USB-C to HDMI,500000,70,10
85,Robot hút bụi iRobot Roomba i7+,18000000,20,5
86,Điện thoại di động Motorola Edge 20,12000000,30,0
87,Smartwatch Huawei Watch Fit,3000000,40,15
88,Ổn áp Santak 2KVA,4000000,35,10
89,Router Wi-Fi Huawei AX3 Dual-core,1500000,60,5
90,Đèn pin đeo trán Black Diamond Spot 350,1500000,60,0
91,Chuột không dây Microsoft Surface Mobile Mouse,1000000,80,20
92,Thiết bị chống trộm Xiaomi Mi Home Security Camera 360,1500000,40,10
93,Loa soundbar Samsung HW-Q800T,10000000,20,15
94,Điện thoại di động Xiaomi Redmi Note 11 Pro,7000000,35,5
95,Ổn áp Rotech 15KVA,30000000,15,0
96,Máy làm sạch không khí Dyson Pure Cool Me,9000000,25,30
97,Smart TV Box Xiaomi Mi Box S,2000000,40,25
98,Thiết bị hồng ngoại Logitech Harmony Companion,2500000,30,10
99,Loa Bluetooth Bose SoundLink Mini II,4000000,25,0
100,Ổn áp APC 3KVA,7000000,30,10
